order_id,order_date,customer_country,product_category,product_name,quantity,unit_price,discount_pct,payment_method,order_status,customer_age,customer_lat,customer_lon,review_score,shipping_days,revenue
ORD-100000,2022-01-01 00:00:00.000000,Canada,Sports,Product_162,2,2.78,5,Bank Transfer,Delivered,38,-20.1398,41.6795,4.0,6.0,5.28
ORD-100001,2022-01-01 17:31:54.076050,France,Beauty,Product_158,4,14.54,0,Crypto,Shipped,30,-33.8716,-133.0818,,12.0,58.16
ORD-100002,2022-01-02 11:03:48.152101,Australia,Home & Garden,Product_82,8,10.88,10,Bank Transfer,Shipped,35,14.7684,-138.6735,3.0,8.0,78.34
ORD-100003,2022-01-03 04:35:42.228152,Brazil,Home & Garden,Product_147,9,24.85,20,Bank Transfer,Returned,71,-8.323,-162.7192,5.0,9.0,178.92
ORD-100004,2022-01-03 22:07:36.304202,Canada,Food,Product_159,3,25.64,15,Crypto,Shipped,41,-38.7681,24.1488,4.0,18.0,65.38
ORD-100005,2022-01-04 15:39:30.380253,Mexico,Home & Garden,Product_188,7,104.79,25,Credit Card,Delivered,44,26.7715,-92.561,4.0,11.0,550.15
ORD-100006,2022-01-05 09:11:24.456304,UK,Clothing,Product_60,9,221.44,5,Crypto,Cancelled,71,12.4003,84.3781,5.0,11.0,1893.31
ORD-100007,2022-01-06 02:43:18.532354,Canada,Home & Garden,Product_147,4,8.66,0,Credit Card,Cancelled,21,-22.9106,67.05,4.0,15.0,34.64
ORD-100008,2022-01-06 20:15:12.608405,Australia,Books,Product_49,3,361.91,20,Bank Transfer,Delivered,39,4.7691,-65.4801,4.0,9.0,868.58
ORD-100009,2022-01-07 13:47:06.684456,Brazil,Food,Product_63,5,13.0,0,Credit Card,Delivered,41,40.6747,-116.3514,2.0,3.0,65.0
ORD-100010,2022-01-08 07:19:00.760507,France,Electronics,Product_110,1,40.73,10,Gift Card,Returned,57,-32.2883,-143.1359,3.0,,36.66
ORD-100011,2022-01-09 00:50:54.836557,Australia,Home & Garden,Product_150,3,61.13,0,Crypto,Delivered,62,-20.4577,85.4335,4.0,17.0,183.39
ORD-100012,2022-01-09 18:22:48.912608,Australia,Beauty,Product_152,8,622.35,0,Gift Card,Cancelled,27,-13.275,-17.8412,1.0,3.0,4978.8
ORD-100013,2022-01-10 11:54:42.988659,UK,Electronics,Product_109,8,17.28,20,Bank Transfer,Delivered,19,40.8081,-63.5292,,,110.59
ORD-100014,2022-01-11 05:26:37.064709,India,Clothing,Product_76,4,3.83,0,Crypto,Delivered,57,54.3346,128.3951,3.0,9.0,15.32
ORD-100015,2022-01-11 22:58:31.140760,Brazil,Beauty,Product_30,2,198.04,25,Bank Transfer,Delivered,23,-9.1876,33.7008,3.0,17.0,297.06
ORD-100016,2022-01-12 16:30:25.216811,Germany,Electronics,Product_58,8,12.18,15,Gift Card,Delivered,65,-19.9562,6.4808,4.0,18.0,82.82
ORD-100017,2022-01-13 10:02:19.292861,Australia,Beauty,Product_117,8,21.46,10,Bank Transfer,Processing,35,60.0753,87.6165,4.0,15.0,154.51
ORD-100018,2022-01-14 03:34:13.368912,India,Clothing,Product_159,4,8.66,5,Crypto,Returned,34,74.9143,113.6099,5.0,1.0,32.91
ORD-100019,2022-01-14 21:06:07.444963,Germany,,Product_100,3,21.53,5,Crypto,Delivered,55,30.4977,66.9863,4.0,10.0,61.36
ORD-100020,2022-01-15 14:38:01.521014,Brazil,Books,Product_192,2,12.08,5,Bank Transfer,Delivered,62,73.6474,-21.5977,5.0,8.0,22.95
ORD-100021,2022-01-16 08:09:55.597064,USA,Clothing,Product_19,9,74.57,25,Crypto,Processing,40,29.0954,-43.4524,5.0,10.0,503.35
ORD-100022,2022-01-17 01:41:49.673115,Mexico,Clothing,Product_176,1,36.49,0,Crypto,Shipped,63,39.0171,97.7994,5.0,2.0,36.49
ORD-100023,2022-01-17 19:13:43.749166,India,Beauty,Product_173,7,14.63,20,Bank Transfer,Delivered,47,-7.5314,6.4466,5.0,19.0,81.93
ORD-100024,2022-01-18 12:45:37.825216,Japan,Food,Product_94,5,109.4,10,Gift Card,Delivered,38,-1.5494,73.579,5.0,14.0,492.3
ORD-100025,2022-01-19 06:17:31.901267,USA,Toys,Product_183,8,44.97,10,Crypto,Shipped,27,-40.5417,140.5436,4.0,8.0,323.78
ORD-100026,2022-01-19 23:49:25.977318,Mexico,Sports,Product_113,4,3.61,5,Crypto,Processing,73,51.0713,149.7206,3.0,19.0,13.72
ORD-100027,2022-01-20 17:21:20.053368,UK,Home & Garden,Product_183,7,99.85,5,Crypto,Delivered,60,65.693,-80.0224,3.0,,664.0
ORD-100028,2022-01-21 10:53:14.129419,Canada,Home & Garden,Product_146,5,41.34,15,Crypto,Delivered,30,24.1641,-112.3596,5.0,16.0,175.7
ORD-100029,2022-01-22 04:25:08.205470,France,Books,Product_63,5,175.72,25,Bank Transfer,Returned,29,-13.6076,-85.9366,5.0,15.0,658.95
ORD-100030,2022-01-22 21:57:02.281521,Japan,Books,Product_116,9,38.42,0,Gift Card,Shipped,26,-39.2078,90.4938,,5.0,345.78
ORD-100031,2022-01-23 15:28:56.357571,UK,Home & Garden,Product_113,9,12.81,0,Gift Card,Delivered,21,-24.2039,-46.7791,5.0,3.0,115.29
ORD-100032,2022-01-24 09:00:50.433622,Brazil,Sports,Product_47,9,25.92,0,Credit Card,Delivered,56,-25.5196,-117.5799,5.0,,233.28
ORD-100033,2022-01-25 02:32:44.509673,UK,Home & Garden,Product_57,6,86.9,0,Crypto,Shipped,41,22.8263,-144.5812,4.0,10.0,521.4
ORD-100034,2022-01-25 20:04:38.585723,Canada,Toys,Product_118,6,13.13,10,Crypto,Delivered,71,67.5801,-62.1673,4.0,5.0,70.9
ORD-100035,2022-01-26 13:36:32.661774,Brazil,Sports,Product_45,5,19.52,10,Credit Card,Delivered,51,-53.4833,-130.9909,4.0,11.0,87.84
ORD-100036,2022-01-27 07:08:26.737825,Japan,Books,Product_161,9,25.38,0,Gift Card,Delivered,56,-59.862,-123.7055,4.0,6.0,228.42
ORD-100037,2022-01-28 00:40:20.813875,Canada,Electronics,Product_145,8,8.34,0,PayPal,Delivered,58,21.0246,66.1982,,4.0,66.72
ORD-100038,2022-01-28 18:12:14.889926,Germany,Beauty,Product_198,7,13.36,0,PayPal,Shipped,22,-21.6518,-172.8964,4.0,7.0,93.52
ORD-100039,2022-01-29 11:44:08.965977,France,Toys,Product_4,7,40.73,25,Gift Card,Delivered,32,58.874,-137.6808,5.0,19.0,213.83
