flight_id,departure_time,airline,origin_airport,destination_airport,origin_lat,origin_lon,dest_lat,dest_lon,flight_class,distance_km,scheduled_duration_min,actual_duration_min,delay_min,ticket_price_usd,passengers,on_time,cancellation_reason
FL8033,2023-10-30 - 21:28:42,American,JFK,FRA,40.6413,-73.7781,50.0379,8.5622,Economy,14388.0,342,698.0,69.0,660.53,150,Yes,
FL6637,2024-04-05 - 17:10:58,Ryanair,CDG,NRT,49.0097,2.5479,35.772,140.3929,First,6730.0,317,,18.0,1517.68,220,Yes,
FL5143,2023-04-01 - 10:38:45,Air France,ORD,SYD,41.9742,-87.9073,-33.9399,151.1753,Business,5482.0,603,233.0,0.0,76.06,329,No,
FL1622,2023-05-06 - 22:52:45,United,JFK,SYD,40.6413,-73.7781,-33.9399,151.1753,Economy,14769.0,337,696.0,0.0,455.48,176,No,
FL5205,2023-12-06 - 22:07:56,Lufthansa,ORD,FRA,41.9742,-87.9073,50.0379,8.5622,Economy,2408.0,877,231.0,0.0,416.44,120,Yes,
FL7033,2023-07-11 - 12:14:00,British Airways,DXB,JFK,25.2532,55.3657,40.6413,-73.7781,Economy,10299.0,359,915.0,49.0,,91,Yes,
FL4093,2023-05-12 - 09:59:31,American,CDG,SIN,49.0097,2.5479,1.3644,103.9915,Economy,13225.0,158,769.0,36.0,,173,No,
FL4581,2023-10-01 - 10:55:33,Ryanair,LAX,CDG,33.9425,-118.4081,49.0097,2.5479,Economy,9496.0,710,708.0,,746.38,389,No,Technical
FL2833,2024-06-27 - 21:00:42,Emirates,SYD,NRT,-33.9399,151.1753,35.772,140.3929,Economy,4792.0,114,148.0,0.0,129.9,178,No,Crew
FL8539,2024-05-27 - 07:28:14,Lufthansa,NRT,ORD,35.772,140.3929,41.9742,-87.9073,Economy,4641.0,834,689.0,0.0,274.7,141,No,
FL6530,2023-05-12 - 02:42:29,Ryanair,FRA,LAX,50.0379,8.5622,33.9425,-118.4081,Business,13933.0,492,156.0,0.0,95.43,241,Yes,
FL3708,2023-06-03 - 13:43:39,United,DXB,JFK,25.2532,55.3657,40.6413,-73.7781,Business,1607.0,343,429.0,45.0,568.82,271,Yes,
FL8531,2024-01-11 - 10:21:56,Emirates,JFK,LHR,40.6413,-73.7781,51.47,-0.4543,Economy,3167.0,249,705.0,0.0,322.55,321,Yes,
FL2853,2023-06-13 - 06:49:01,Lufthansa,LAX,DXB,33.9425,-118.4081,25.2532,55.3657,Economy,11003.0,423,872.0,77.0,452.75,337,Yes,
FL4760,2024-06-17 - 20:38:17,Air France,SYD,LAX,-33.9399,151.1753,33.9425,-118.4081,Economy,14656.0,310,907.0,0.0,316.75,182,Yes,
FL7871,2023-12-22 - 02:20:04,Ryanair,NRT,JFK,35.772,140.3929,40.6413,-73.7781,Economy,886.0,881,922.0,1.0,177.87,166,Yes,
FL4545,2024-03-18 - 04:51:21,Lufthansa,SYD,DXB,-33.9399,151.1753,25.2532,55.3657,Economy,1244.0,409,,27.0,,322,No,
FL4610,2024-02-05 - 00:22:24,American,ORD,SYD,41.9742,-87.9073,-33.9399,151.1753,Economy,4988.0,592,578.0,16.0,452.93,87,Yes,
FL1861,2023-05-21 - 19:47:51,American,LAX,NRT,33.9425,-118.4081,35.772,140.3929,First,5899.0,524,,0.0,641.53,206,Yes,
FL2833,2023-09-05 - 23:03:58,Emirates,FRA,NRT,50.0379,8.5622,35.772,140.3929,First,2603.0,817,205.0,0.0,1151.37,229,Yes,
FL7789,2023-04-26 - 15:13:18,American,SIN,FRA,1.3644,103.9915,50.0379,8.5622,Economy,3716.0,804,843.0,62.0,,96,Yes,
FL4829,2023-07-07 - 20:49:29,Lufthansa,FRA,JFK,50.0379,8.5622,40.6413,-73.7781,Economy,13911.0,789,815.0,88.0,424.36,214,No,
FL4027,2023-06-30 - 21:17:30,American,LHR,DXB,51.47,-0.4543,25.2532,55.3657,Economy,1276.0,625,,61.0,134.66,400,Yes,
